type,n,dims,qbit,rounding,cbit,compile_time,key_time,sk_score,simul_score,fhe_time
moon,5,2,3,3,7,1.2119636535644531,79.4633240699768,0.6, 0.6,2.9558935165405273
moon,5,2,3,4,7,1.7614822387695312,83.94512176513672,0.6, 0.6,2.258096694946289
moon,5,2,3,5,7,2.9190053939819336,103.35131669044495,0.6, 0.6,3.176337718963623
moon,5,2,3,6,7,2.7246131896972656,102.53622794151306,0.6, 0.6,3.0719101428985596
moon,5,2,3,7,7,2.918757438659668,102.19524335861206,0.6, 0.6,2.3556883335113525
moon,5,2,3,8,7,2.756770610809326,102.5040545463562,0.6, 0.6,2.574972152709961
circle,5,2,3,3,7,1.2827167510986328,79.22001957893372,0.4, 0.6,2.3235247135162354
circle,5,2,3,4,7,1.9013538360595703,83.87926006317139,0.4, 0.2,2.1397392749786377
circle,5,2,3,5,7,2.134995460510254,102.69695568084717,0.4, 0.6,2.2300209999084473
circle,5,2,3,6,7,1.8864655494689941,98.00044775009155,0.4, 0.2,3.541513204574585
circle,5,2,3,7,7,1.8041222095489502,98.52293634414673,0.4, 0.2,3.4292783737182617
circle,5,2,3,8,7,1.59010648727417,97.6718339920044,0.4, 0.2,3.394209384918213
classif,5,5,3,3,8,1.8426179885864258,353.7368495464325,0.2, 0.2,4.174252510070801
classif,5,5,3,4,8,3.0979082584381104,357.7815783023834,0.2, 0.2,3.5025393962860107
classif,5,5,3,5,8,3.099071741104126,375.50277042388916,0.2, 0.2,3.6128458976745605
classif,5,5,3,6,8,3.509158134460449,373.60513830184937,0.2, 0.2,3.8050951957702637
classif,5,5,3,7,8,2.0298821926116943,446.862655878067,0.2, 0.2,5.379802942276001
classif,5,5,3,8,8,1.9854862689971924,446.39178466796875,0.2, 0.2,5.618836402893066
moon,5,2,3,3,7,3.179412841796875,81.277170419693,0.6, 0.4,2.3986945152282715
moon,5,2,3,4,7,1.797013759613037,84.1148910522461,0.6, 0.4,2.343796730041504
moon,5,2,3,5,7,5.78875207901001,103.26053833961487,0.6, 0.4,2.455395460128784
moon,5,2,3,6,7,3.66857647895813,102.52682709693909,0.6, 0.4,3.146523952484131
moon,5,2,3,7,7,3.4644298553466797,102.4382164478302,0.6, 0.4,3.5714612007141113
moon,5,2,3,8,7,3.643179178237915,102.46699547767639,0.6, 0.4,3.3146493434906006
circle,5,2,3,3,7,1.4570834636688232,78.54945063591003,0.2, 0.4,2.1914985179901123
circle,5,2,3,4,7,2.1025197505950928,83.29560256004333,0.2, 0.0,2.296048879623413
circle,5,2,3,5,7,2.281247615814209,101.71186375617981,0.2, 0.2,3.2650465965270996
circle,5,2,3,6,7,1.9635448455810547,97.7969582080841,0.2, 0.2,4.284392833709717
circle,5,2,3,7,7,1.7145822048187256,98.01942753791809,0.2, 0.2,3.9525771141052246
circle,5,2,3,8,7,1.6854612827301025,98.12960720062256,0.2, 0.2,4.127858877182007
classif,5,10,3,3,8,8.686843395233154,351.73051261901855,0.2, 0.2,4.6942174434661865
classif,5,10,3,4,8,3.3633761405944824,356.20801305770874,0.2, 0.2,4.174478054046631
classif,5,10,3,5,8,9.402607202529907,376.5907998085022,0.2, 0.2,5.2569262981414795
classif,5,10,3,6,8,5.803748607635498,490.0409719944,0.2, 0.2,7.287881374359131
classif,5,10,3,7,8,5.881848335266113,489.8551652431488,0.2, 0.2,6.908236980438232
classif,5,10,3,8,8,5.62615966796875,501.20375061035156,0.2, 0.2,7.369109630584717
moon,5,2,3,3,7,1.3177270889282227,78.5334484577179,0.2, 0.2,2.6947736740112305
moon,5,2,3,4,7,1.6555423736572266,83.21116924285889,0.2, 0.2,2.316854238510132
moon,5,2,3,5,7,2.1372218132019043,101.76894402503967,0.2, 0.2,2.9171550273895264
moon,10,2,3,3,7,14.273629903793335,78.84502959251404,0.8, 0.6,5.3520543575286865
moon,10,2,3,4,7,3.882502794265747,89.08276009559631,0.8, 0.5,4.779356241226196
moon,10,2,3,5,7,7.651867151260376,118.75586366653442,0.8, 0.6,6.517783164978027
moon,10,2,3,6,7,59.06300473213196,161.28844809532166,0.8, 0.6,8.80661654472351
moon,22,2,3,3,7,48.21693968772888,82.72857594490051,0.9130434782608695, 0.8695652173913043,8.31281065940857
moon,22,2,3,4,7,276.48058438301086,92.27406716346741,0.9130434782608695, 0.8260869565217391,7.293258190155029
moon,22,2,3,5,7,50.886945962905884,146.84632539749146,0.9130434782608695, 0.8695652173913043,11.46498703956604
classif,15,15,3,3,9,14.002966403961182,2274.579901456833,0.6,0.4666666666666667,21.85861897468567
classif,15,15,3,4,9,135.58130860328674,2280.758416891098,0.6,0.7333333333333333,21.47948956489563
classif,15,15,3,5,9,10.598595142364502,2340.026765346527,0.6,0.7333333333333333,24.01795220375061
classif,15,15,3,6,9,95.98212480545044,2554.420478105545,0.6,0.7333333333333333,31.827127695083618
classif,20,10,3,3,8,189.99248600006104,352.1330382823944,0.7,0.45,10.319745063781738
classif,20,10,3,4,8,181.29006385803223,377.9827148914337,0.7,0.5,9.854778528213501
classif,20,10,3,5,8,35.160045862197876,426.17410588264465,0.7,0.7,12.002098321914673
classif,20,10,3,6,8,75.75520873069763,683.1365704536438,0.7,0.7,21.111769914627075
classif,20,15,3,3,8,39.12460160255432,358.3089473247528,0.65,0.7,11.611403226852417
classif,20,15,3,4,8,32.05969309806824,373.77276706695557,0.65,0.65,10.893029689788818
classif,20,15,3,5,8,36.004995822906494,425.74184465408325,0.65,0.65,19.827555656433105
classif,20,15,3,6,8,299.7152614593506,729.7792904376984,0.65,0.7,26.44523000717163
classif,20,15,3,7,8,155.17467880249023,1690.7252490520477,0.65,0.7,inf
classif,25,15,3,3,9,71.47110795974731,1573.8999392986298,0.76,0.64,21.72785186767578
classif,25,15,3,4,9,67.98028016090393,2328.499759912491,0.76,0.68,24.85367774963379
classif,25,15,3,5,9,77.96974349021912,2421.5687074661255,0.76,0.64,37.330652475357056
classif,25,15,3,6,9,156.92542672157288,2991.8007905483246,0.76,0.72,inf
classif,25,20,3,-1,9,63.740609884262085,inf
classif,25,20,3,4,9,113.63584089279175,1525.78999710083,0.8,0.8,29.747196912765503
